patent,state1,fips,sector,application_year,alter_class,focal_class
4248209,NY,36105,Solar,1980,126,47
4248209,NY,36105,Solar,1980,47,126
4248675,MA,25017,Solar,1980,136,205
4248675,MA,25017,Solar,1980,205,136
4251327,AZ,4013,Solar,1980,136,205
4251327,AZ,4013,Solar,1980,136,204
4251327,AZ,4013,Solar,1980,205,136
4251327,AZ,4013,Solar,1980,205,204
4251327,AZ,4013,Solar,1980,204,205
4251327,AZ,4013,Solar,1980,204,136
4253882,DE,10003,Solar,1980,136,257
4253882,DE,10003,Solar,1980,257,136
4253919,NY,36071,Solar,1980,205,136
4253919,NY,36071,Solar,1980,136,205
4253987,WV,54039,Biofuel,1980,502,568
4253987,WV,54039,Biofuel,1980,568,502
4259300,CA,6059,Geothermal,1980,423,60
4259300,CA,6059,Geothermal,1980,60,423
4260428,DE,10003,Solar,1980,205,136
4260428,DE,10003,Solar,1980,136,205
4260429,DE,10003,Solar,1980,136,257
4260429,DE,10003,Solar,1980,257,136
4260836,NJ,34007,Biofuel,1980,252,568
4260836,NJ,34007,Biofuel,1980,568,252
4261417,MA,25017,Solar,1980,165,126
4261417,MA,25017,Solar,1980,165,52
4261417,MA,25017,Solar,1980,126,52
4261417,MA,25017,Solar,1980,126,165
4261417,MA,25017,Solar,1980,52,165
4261417,MA,25017,Solar,1980,52,126
4261702,NY,36027,Biofuel,1980,44,568
4261702,NY,36027,Biofuel,1980,568,44
4261802,PA,42091,Solar,1980,205,438
4261802,PA,42091,Solar,1980,205,136
4261802,PA,42091,Solar,1980,136,438
4261802,PA,42091,Solar,1980,136,205
4261802,PA,42091,Solar,1980,438,136
4261802,PA,42091,Solar,1980,438,205
4262659,OH,39017,Solar,1980,126,165
4262659,OH,39017,Solar,1980,165,126
4272641,NJ,34021,Solar,1980,257,136
4272641,NJ,34021,Solar,1980,136,257
4272686,HI,15003,Hydro,1980,290,415
4272686,HI,15003,Hydro,1980,415,290
4273621,NJ,34013,Biofuel,1980,203,95
4273621,NJ,34013,Biofuel,1980,95,203
4274011,PA,42101,Wind,1980,290,416
4274011,PA,42101,Wind,1980,416,290
4275308,NJ,34035,Solar,1980,250,327
4275308,NJ,34035,Solar,1980,250,257
4275308,NJ,34035,Solar,1980,250,307
4275308,NJ,34035,Solar,1980,257,307
4275308,NJ,34035,Solar,1980,257,327
4275308,NJ,34035,Solar,1980,257,250
4275308,NJ,34035,Solar,1980,327,257
4275308,NJ,34035,Solar,1980,327,250
4275308,NJ,34035,Solar,1980,327,307
4275308,NJ,34035,Solar,1980,307,327
4275308,NJ,34035,Solar,1980,307,250
4275308,NJ,34035,Solar,1980,307,257
4275950,OH,39049,Solar,1980,126,385
4275950,OH,39049,Solar,1980,385,126
4278704,NJ,34021,Solar,1980,148,136
4278704,NJ,34021,Solar,1980,148,438
4278704,NJ,34021,Solar,1980,148,427
4278704,NJ,34021,Solar,1980,438,148
4278704,NJ,34021,Solar,1980,438,427
4278704,NJ,34021,Solar,1980,438,136
4278704,NJ,34021,Solar,1980,427,438
4278704,NJ,34021,Solar,1980,427,148
4278704,NJ,34021,Solar,1980,427,136
4278704,NJ,34021,Solar,1980,136,427
4278704,NJ,34021,Solar,1980,136,438
4278704,NJ,34021,Solar,1980,136,148
4278831,WA,53033,Solar,1980,136,427
4278831,WA,53033,Solar,1980,136,257
4278831,WA,53033,Solar,1980,427,257
4278831,WA,53033,Solar,1980,427,136
4278831,WA,53033,Solar,1980,257,427
4278831,WA,53033,Solar,1980,257,136
4280477,MI,26067,Solar,1980,4,126
4280477,MI,26067,Solar,1980,4,256
4280477,MI,26067,Solar,1980,256,4
4280477,MI,26067,Solar,1980,256,126
4280477,MI,26067,Solar,1980,126,256
4280477,MI,26067,Solar,1980,126,4
4280483,CA,6037,Solar,1980,126,165
4280483,CA,6037,Solar,1980,165,126
4280556,ME,23005,Solar,1980,122,165
4280556,ME,23005,Solar,1980,165,122
4280818,PA,42003,Biofuel,1980,44,208
4280818,PA,42003,Biofuel,1980,208,44
4281053,NY,36055,Solar,1980,136,250
4281053,NY,36055,Solar,1980,136,430
4281053,NY,36055,Solar,1980,430,250
4281053,NY,36055,Solar,1980,430,136
4281053,NY,36055,Solar,1980,250,136
4281053,NY,36055,Solar,1980,250,430
4282007,NY,36027,Biofuel,1980,44,252
4282007,NY,36027,Biofuel,1980,252,44
4282008,NY,36027,Biofuel,1980,548,252
4282008,NY,36027,Biofuel,1980,548,44
4282008,NY,36027,Biofuel,1980,44,252
4282008,NY,36027,Biofuel,1980,44,548
4282008,NY,36027,Biofuel,1980,252,548
4282008,NY,36027,Biofuel,1980,252,44
4283106,FL,12103,Solar,1980,439,136
4283106,FL,12103,Solar,1980,136,439
4283591,PA,42029,Solar,1980,257,136
4283591,PA,42029,Solar,1980,136,257
4284060,PA,42017,Solar,1980,126,4
4284060,PA,42017,Solar,1980,4,126
4284689,NJ,34025,Solar,1980,204,428
4284689,NJ,34025,Solar,1980,204,126
4284689,NJ,34025,Solar,1980,126,204
4284689,NJ,34025,Solar,1980,126,428
4284689,NJ,34025,Solar,1980,428,204
4284689,NJ,34025,Solar,1980,428,126
4284902,MN,27137,Hydro,1980,417,290
4284902,MN,27137,Hydro,1980,290,417
4285917,CA,6073,Geothermal,1980,423,60
4285917,CA,6073,Geothermal,1980,60,423
4286287,MI,26049,Nuclear,1980,376,348
4286287,MI,26049,Nuclear,1980,348,376
4286651,MN,27113,Geothermal,1980,165,175
4286651,MN,27113,Geothermal,1980,175,165
4287304,NY,36119,Biofuel,1980,127,426
4287304,NY,36119,Biofuel,1980,127,435
4287304,NY,36119,Biofuel,1980,426,127
4287304,NY,36119,Biofuel,1980,426,435
4287304,NY,36119,Biofuel,1980,435,426
4287304,NY,36119,Biofuel,1980,435,127
4287382,MA,25017,Solar,1980,156,136
4287382,MA,25017,Solar,1980,136,156
4287383,CA,6013,Solar,1980,257,136
