patent,state1,fips,sector,application_year,alter_inv_Lastname,alter_Invnum_N,focal_inv_Lastname,focal_Invnum_N
4246042,VA,51059,Solar,1980,KNASEL,04246042-1,HOUGHTON,04246042-2
4246042,VA,51059,Solar,1980,HOUGHTON,04246042-2,KNASEL,04246042-1
4248675,MA,25017,Solar,1980,FAN,04038216-2,MCCLELLAND,04227941-4
4248675,MA,25017,Solar,1980,FAN,04038216-2,BOZLER,04197141-1
4248675,MA,25017,Solar,1980,FAN,04038216-2,CHAPMAN,04227941-2
4248675,MA,25017,Solar,1980,CHAPMAN,04227941-2,BOZLER,04197141-1
4248675,MA,25017,Solar,1980,CHAPMAN,04227941-2,FAN,04038216-2
4248675,MA,25017,Solar,1980,CHAPMAN,04227941-2,MCCLELLAND,04227941-4
4248675,MA,25017,Solar,1980,MCCLELLAND,04227941-4,FAN,04038216-2
4248675,MA,25017,Solar,1980,MCCLELLAND,04227941-4,BOZLER,04197141-1
4248675,MA,25017,Solar,1980,MCCLELLAND,04227941-4,CHAPMAN,04227941-2
4248675,MA,25017,Solar,1980,BOZLER,04197141-1,FAN,04038216-2
4248675,MA,25017,Solar,1980,BOZLER,04197141-1,CHAPMAN,04227941-2
4248675,MA,25017,Solar,1980,BOZLER,04197141-1,MCCLELLAND,04227941-4
4253919,NY,36071,Solar,1980,HALL,04200515-1,CLARK,04253919-2
4253919,NY,36071,Solar,1980,CLARK,04253919-2,HALL,04200515-1
4261702,NY,36027,Biofuel,1980,HERBSTMAN,04066716-1,SWEENEY,03862825-1
4261702,NY,36027,Biofuel,1980,SWEENEY,03862825-1,HERBSTMAN,04066716-1
4261802,PA,42091,Solar,1980,DOTY,04260427-4,FULOP,04260427-1
4261802,PA,42091,Solar,1980,DOTY,04260427-4,BETZ,04173497-2
4261802,PA,42091,Solar,1980,DOTY,04260427-4,MEYERS,04260427-3
4261802,PA,42091,Solar,1980,BETZ,04173497-2,DOTY,04260427-4
4261802,PA,42091,Solar,1980,BETZ,04173497-2,MEYERS,04260427-3
4261802,PA,42091,Solar,1980,BETZ,04173497-2,FULOP,04260427-1
4261802,PA,42091,Solar,1980,MEYERS,04260427-3,DOTY,04260427-4
4261802,PA,42091,Solar,1980,MEYERS,04260427-3,BETZ,04173497-2
4261802,PA,42091,Solar,1980,MEYERS,04260427-3,FULOP,04260427-1
4261802,PA,42091,Solar,1980,FULOP,04260427-1,BETZ,04173497-2
4261802,PA,42091,Solar,1980,FULOP,04260427-1,DOTY,04260427-4
4261802,PA,42091,Solar,1980,FULOP,04260427-1,MEYERS,04260427-3
4262149,NJ,34035,Biofuel,1980,WADSWORTH,03868388-2,DOTSON JR,03868388-1
4262149,NJ,34035,Biofuel,1980,DOTSON JR,03868388-1,WADSWORTH,03868388-2
4276174,NY,36029,Biofuel,1980,BREIDER,04276174-1,DRNEVICH,04042493-2
4276174,NY,36029,Biofuel,1980,DRNEVICH,04042493-2,BREIDER,04276174-1
4277635,IA,19015,Biofuel,1980,CHRISWELL,04277635-2,OULMAN,04277635-1
4277635,IA,19015,Biofuel,1980,OULMAN,04277635-1,CHRISWELL,04277635-2
4278831,WA,53033,Solar,1980,CORWIN,04199377-1,RIEMER,04199377-2
4278831,WA,53033,Solar,1980,RIEMER,04199377-2,CORWIN,04199377-1
4280818,PA,42003,Biofuel,1980,SCHULZ,03870734-2,WAJERT,04280818-3
4280818,PA,42003,Biofuel,1980,SCHULZ,03870734-2,STANULONIS,04158621-2
4280818,PA,42003,Biofuel,1980,STANULONIS,04158621-2,WAJERT,04280818-3
4280818,PA,42003,Biofuel,1980,STANULONIS,04158621-2,SCHULZ,03870734-2
4280818,PA,42003,Biofuel,1980,WAJERT,04280818-3,STANULONIS,04158621-2
4280818,PA,42003,Biofuel,1980,WAJERT,04280818-3,SCHULZ,03870734-2
4284689,NJ,34025,Solar,1980,CRAIGHEAD,04284689-1,HOWARD,04284689-2
4284689,NJ,34025,Solar,1980,HOWARD,04284689-2,CRAIGHEAD,04284689-1
4284902,MN,27137,Hydro,1980,AMATUZIO,04284902-2,BORGREN,04122824-1
4284902,MN,27137,Hydro,1980,BORGREN,04122824-1,AMATUZIO,04284902-2
4286651,MN,27113,Geothermal,1980,KEES,04286651-2,STEIGER,03877538-1
4286651,MN,27113,Geothermal,1980,STEIGER,03877538-1,KEES,04286651-2
4287304,NY,36119,Biofuel,1980,MULLER,04211638-2,MILLER,04242454-2
4287304,NY,36119,Biofuel,1980,MILLER,04242454-2,MULLER,04211638-2
4287947,NY,36119,Solar,1980,OPPENHEIMER,04000644-1,UDALL,03860778-2
4287947,NY,36119,Solar,1980,OPPENHEIMER,04000644-1,RUDD,03860778-1
4287947,NY,36119,Solar,1980,UDALL,03860778-2,RUDD,03860778-1
4287947,NY,36119,Solar,1980,UDALL,03860778-2,OPPENHEIMER,04000644-1
4287947,NY,36119,Solar,1980,RUDD,03860778-1,UDALL,03860778-2
4287947,NY,36119,Solar,1980,RUDD,03860778-1,OPPENHEIMER,04000644-1
4289625,IL,17031,Biofuel,1980,CHYNOWETH,04289625-2,TARMAN,03891403-2
4289625,IL,17031,Biofuel,1980,TARMAN,03891403-2,CHYNOWETH,04289625-2
4290779,CA,6037,Solar,1980,FROSCH,04088312-1,QADER,04290779-2
4290779,CA,6037,Solar,1980,QADER,04290779-2,FROSCH,04088312-1
4291124,NY,36119,Biofuel,1980,MULLER,04211638-2,MILLER,04242454-2
4291124,NY,36119,Biofuel,1980,MILLER,04242454-2,MULLER,04211638-2
4291179,OH,21117,Biofuel,1980,SMITH,03980661-1,MEIXSEL,04291179-2
4291179,OH,21117,Biofuel,1980,SMITH,03980661-1,GOETZ,04059640-1
4291179,OH,21117,Biofuel,1980,MEIXSEL,04291179-2,SMITH,03980661-1
4291179,OH,21117,Biofuel,1980,MEIXSEL,04291179-2,GOETZ,04059640-1
4291179,OH,21117,Biofuel,1980,GOETZ,04059640-1,SMITH,03980661-1
4291179,OH,21117,Biofuel,1980,GOETZ,04059640-1,MEIXSEL,04291179-2
4291634,NY,36029,Biofuel,1980,BERGSTEN,04291634-1,EARDLEY,04077338-2
4291634,NY,36029,Biofuel,1980,BERGSTEN,04291634-1,HALVORSON,04077338-1
4291634,NY,36029,Biofuel,1980,HALVORSON,04077338-1,BERGSTEN,04291634-1
4291634,NY,36029,Biofuel,1980,HALVORSON,04077338-1,EARDLEY,04077338-2
4291634,NY,36029,Biofuel,1980,EARDLEY,04077338-2,HALVORSON,04077338-1
4291634,NY,36029,Biofuel,1980,EARDLEY,04077338-2,BERGSTEN,04291634-1
4291636,NY,36029,Biofuel,1980,BERGSTEN,04291634-1,FISHER,04291636-3
4291636,NY,36029,Biofuel,1980,BERGSTEN,04291634-1,EARDLEY,04077338-2
4291636,NY,36029,Biofuel,1980,FISHER,04291636-3,EARDLEY,04077338-2
4291636,NY,36029,Biofuel,1980,FISHER,04291636-3,BERGSTEN,04291634-1
4291636,NY,36029,Biofuel,1980,EARDLEY,04077338-2,BERGSTEN,04291634-1
4291636,NY,36029,Biofuel,1980,EARDLEY,04077338-2,FISHER,04291636-3
4292540,MD,24047,Wind,1980,FREEMAN,03978724-1,THOMPSON,04267038-1
4292540,MD,24047,Wind,1980,THOMPSON,04267038-1,FREEMAN,03978724-1
4294564,CA,6059,Hydro,1980,WETMORE,04176722-1,PERSON,03939991-1
4294564,CA,6059,Hydro,1980,WETMORE,04176722-1,MCNARY,03894640-3
4294564,CA,6059,Hydro,1980,PERSON,03939991-1,WETMORE,04176722-1
4294564,CA,6059,Hydro,1980,PERSON,03939991-1,MCNARY,03894640-3
4294564,CA,6059,Hydro,1980,MCNARY,03894640-3,PERSON,03939991-1
4294564,CA,6059,Hydro,1980,MCNARY,03894640-3,WETMORE,04176722-1
4295002,NY,36119,Solar,1980,WOODALL,03874952-1,CHAPPELL,04200472-1
4295002,NY,36119,Solar,1980,CHAPPELL,04200472-1,WOODALL,03874952-1
4296254,FL,12086,Biofuel,1980,CHUPP,03881002-1,HARVEY,04296254-2
4296254,FL,12086,Biofuel,1980,CHUPP,03881002-1,MIDDLEBROOK,04296254-1
4296254,FL,12086,Biofuel,1980,HARVEY,04296254-2,CHUPP,03881002-1
4296254,FL,12086,Biofuel,1980,HARVEY,04296254-2,MIDDLEBROOK,04296254-1
4296254,FL,12086,Biofuel,1980,MIDDLEBROOK,04296254-1,CHUPP,03881002-1
4296254,FL,12086,Biofuel,1980,MIDDLEBROOK,04296254-1,HARVEY,04296254-2
4296602,UT,49041,Hydro,1980,THORPE,04296602-2,HALES,04296602-1
4296602,UT,49041,Hydro,1980,HALES,04296602-1,THORPE,04296602-2
4297303,MI,26163,Biofuel,1980,CUNDARI,04208226-3,DEARDORFF,04208226-1
4297303,MI,26163,Biofuel,1980,CUNDARI,04208226-3,WOOD,04208226-2
4297303,MI,26163,Biofuel,1980,WOOD,04208226-2,CUNDARI,04208226-3
4297303,MI,26163,Biofuel,1980,WOOD,04208226-2,DEARDORFF,04208226-1
4297303,MI,26163,Biofuel,1980,DEARDORFF,04208226-1,CUNDARI,04208226-3
4297303,MI,26163,Biofuel,1980,DEARDORFF,04208226-1,WOOD,04208226-2
4297989,MD,24019,Solar,1980,WOZNY,04297989-2,WOZNY,04297989-1
4297989,MD,24019,Solar,1980,WOZNY,04297989-1,WOZNY,04297989-2
4298025,OH,39055,Hydro,1980,BROWN,04096761-1,PRIOR,03891552-1
4298025,OH,39055,Hydro,1980,PRIOR,03891552-1,BROWN,04096761-1
4298389,NY,36101,Solar,1980,THOMPSON,04179638-3,JOHNSON,04298389-1
4298389,NY,36101,Solar,1980,JOHNSON,04298389-1,THOMPSON,04179638-3
4299691,NJ,34039,Biofuel,1980,SCHLOSBERG,04059410-1,DOUGHERTY,04012342-1
4299691,NJ,34039,Biofuel,1980,DOUGHERTY,04012342-1,SCHLOSBERG,04059410-1
4300009,NJ,34021,Biofuel,1980,HAAG,03875252-1,RODEWALD,03925194-1
4300009,NJ,34021,Biofuel,1980,HAAG,03875252-1,WEISZ,04032431-1
4300009,NJ,34021,Biofuel,1980,RODEWALD,03925194-1,WEISZ,04032431-1
4300009,NJ,34021,Biofuel,1980,RODEWALD,03925194-1,HAAG,03875252-1
4300009,NJ,34021,Biofuel,1980,WEISZ,04032431-1,RODEWALD,03925194-1
4300009,NJ,34021,Biofuel,1980,WEISZ,04032431-1,HAAG,03875252-1
